district_id,district_name,state,latitude,longitude
D001,Chennai,Tamil Nadu,13.0827,80.2707
D002,Tiruvallur,Tamil Nadu,13.1439,79.9082
D003,Chengalpattu,Tamil Nadu,12.6819,79.9833
D004,Kancheepuram,Tamil Nadu,12.8342,79.7036
